,repository_name,language
0,.github,
1,ads-agentic-tools,Python
2,aioshumway,Python
3,android-auth,Kotlin
4,android-sdk,HTML
5,android-store-service,Python
6,annoy,C++
7,annoy-java,Java
8,apollo,Java
9,apollo-elide,Java
10,apollo-metrics,
11,apps-tutorial,
12,argo-cd,
13,argo-rollouts,
14,async-datastore-client,Java
15,async-google-pubsub-client,Java
16,backup-utils,Shell
17,basic-pitch,Python
18,basic-pitch-ts,TypeScript
19,batty,Python
20,bazel,
21,bazel-tools,Java
22,beam,Java
23,big-data-rosetta-code,Scala
24,bigtable-autoscaler,Java
25,boilerplate-app,
26,bucket-runner,JavaScript
27,cartography,Python
28,cassandra-extra,Java
29,cassandra-medusa,Python
30,cassandra-opstools,Java
31,cassandra-reaper,
32,causify,
33,certcheck,Python
34,chartify,Python
35,code-of-conduct,
36,collectd,C
37,comet,Python
38,comet-common,Python
39,comet-core,Python
40,completable-futures,Java
41,condor,Java
42,confidence,Python
43,confidence-ai-plugins,
44,confidence-resolver,Rust
45,confidence-sdk-android,Kotlin
46,confidence-sdk-demos,TypeScript
47,confidence-sdk-dotnet,C#
48,confidence-sdk-flutter,Dart
49,confidence-sdk-go,Go
50,confidence-sdk-java,Java
51,confidence-sdk-js,TypeScript
52,confidence-sdk-python,Python
53,confidence-sdk-rust,Rust
54,confidence-sdk-swift,Swift
55,container-agent,Python
56,conversion-api-tag-template,Smarty
57,cookiecutter-golang,Go
58,coordinator,HTML
59,crtauth,Python
60,crtauth-java,Java
61,crtauth-java-agent-signer-apache,Java
62,crunch-lib,Java
63,cstar,Python
64,daemon-java,Java
65,dataenum,Java
66,DataflowJavaSDK,Java
67,dataproc-java-submitter,Java
68,dataprocxy,Python
69,dbeam,Java
70,debify,Shell
71,dh-virtualenv,Python
72,diffuser,Swift
73,dns-java,Java
74,docgenerator,Java
75,docker-alpine,
76,docker-bigtable,Go
77,docker-cassandra,Shell
78,docker-client,Java
79,docker-gc,Shell
80,docker-kafka,Shell
81,docker-maven-plugin,Java
82,docker-stress,Python
83,dockerfile-maven,Java
84,dockerfile-mode,Emacs Lisp
85,docker_interface,Python
86,drserv,Python
87,druid,
88,duck,Ruby
89,echoprint-codegen,C++
90,echoprint-server,Java
91,elasticsearch-index-window,Java
92,elitzur,Scala
93,eslint-config-oss,JavaScript
94,etcd,Go
95,featran,Scala
96,ffwd,Java
97,ffwd-client-java,Java
98,ffwd-http-client,Java
99,ffwd-ruby,Ruby
100,flink,Java
101,flink-docker,
102,flink-on-k8s-operator,Go
103,flo,Java
104,flume-syslog-source2,Java
105,flyte-flink-plugin,Go
106,fmt-maven-plugin,Java
107,folsom,Java
108,foss-root,
109,futures-extra,Java
110,futuristic-feline,Java
111,gcp-audit,Python
112,gcp-aws-iam-federation-webidentity,HCL
113,gcp-firewall-enforcer,Python
114,gcs-tools,Scala
115,ghelog,Python
116,gimme,Python
117,git-test,Shell
118,github-java-client,Java
119,google-http-java-client,Java
120,gordon,Python
121,gordon-gcp,Python
122,gordon-introspection,Python
123,gordon-janitor,Python
124,gordon-janitor-gcp,Python
125,griffin,Python
